ward,poll_id,firm,date_conducted,date_published,sample_size,methodology,denominator,ballot_status,candidate_id,candidate_name,share,is_incumbent,is_residual,registration_status,undecided_share,source_url,notes
19,forum-ward19-2026-08-12,Forum Research,2026-08-12,2026-08-13,386,IVR,decided voters,different_candidate_field,residual,Other candidates,0.21,false,true,residual,0.23,https://www.forumresearch.com/news/2026/08/nate-erskine-smith-holds-commanding-lead-in-beacheseast-york-municipal-election-poll,
20,forum-ward20-2026-06-23,Forum Research,2026-06-23,2026-06-24,311,IVR,decided voters,different_candidate_field,kandavel,Parthi Kandavel,0.37,true,false,registered,0.28,https://www.forumresearch.com/news/2026/06/parthi-kandavel-leads-in-a-divided-scarborough-southwest-municipal-election-poll-and-olivia-chow-leads-for-the-mayoral-preference,By-election incumbent; decided-voter topline; undecided 28% published; shares total 100
20,forum-ward20-2026-06-23,Forum Research,2026-06-23,2026-06-24,311,IVR,decided voters,different_candidate_field,debaeremaeker,Glenn De Baeremaeker,0.28,false,false,unregistered,0.28,https://www.forumresearch.com/news/2026/06/parthi-kandavel-leads-in-a-divided-scarborough-southwest-municipal-election-poll-and-olivia-chow-leads-for-the-mayoral-preference,
20,forum-ward20-2026-06-23,Forum Research,2026-06-23,2026-06-24,311,IVR,decided voters,different_candidate_field,rupasinghe,Kevin Rupasinghe,0.25,false,false,registered,0.28,https://www.forumresearch.com/news/2026/06/parthi-kandavel-leads-in-a-divided-scarborough-southwest-municipal-election-poll-and-olivia-chow-leads-for-the-mayoral-preference,
20,forum-ward20-2026-06-23,Forum Research,2026-06-23,2026-06-24,311,IVR,decided voters,different_candidate_field,residual,Other candidates,0.1,false,true,residual,0.28,https://www.forumresearch.com/news/2026/06/parthi-kandavel-leads-in-a-divided-scarborough-southwest-municipal-election-poll-and-olivia-chow-leads-for-the-mayoral-preference,
20,forum-ward20-2026-08-18-current,Forum Research,2026-08-18,2026-08-20,269,IVR,decided/leaning voters,different_candidate_field,kandavel,Parthi Kandavel,0.33,true,false,registered,,https://www.forumresearch.com/news/2026/08/parthi-kandavel-leads-scarborough-southwest-council-race-though-john-tory-jr-would-take-the-lead-if-he-entered,"One of three dependent readings from one sample; not a separate poll. Shares sum to 101% from published whole-point rounding. Field differs from the final ballot: Mills is absent and five final candidates appear only in Other. The release prose groups undecided and other candidates, while the decided/leaning table publishes only Other, so no separate undecided share is inferred. Age weighting includes 2 respondents age 18-24 weighted to 16, 7 age 25-34 weighted to 46, and 114 age 65+ weighted to 31; no design effect or effective base is published."
20,forum-ward20-2026-08-18-current,Forum Research,2026-08-18,2026-08-20,269,IVR,decided/leaning voters,different_candidate_field,mills,Philip Mills,0.09,false,false,unregistered,,https://www.forumresearch.com/news/2026/08/parthi-kandavel-leads-scarborough-southwest-council-race-though-john-tory-jr-would-take-the-lead-if-he-entered,
20,forum-ward20-2026-08-18-current,Forum Research,2026-08-18,2026-08-20,269,IVR,decided/leaning voters,different_candidate_field,rupasinghe,Kevin Rupasinghe,0.27,false,false,registered,,https://www.forumresearch.com/news/2026/08/parthi-kandavel-leads-scarborough-southwest-council-race-though-john-tory-jr-would-take-the-lead-if-he-entered,
20,forum-ward20-2026-08-18-current,Forum Research,2026-08-18,2026-08-20,269,IVR,decided/leaning voters,different_candidate_field,ali-reza,Mohammad Ali Reza,0.07,false,false,registered,,https://www.forumresearch.com/news/2026/08/parthi-kandavel-leads-scarborough-southwest-council-race-though-john-tory-jr-would-take-the-lead-if-he-entered,
20,forum-ward20-2026-08-18-current,Forum Research,2026-08-18,2026-08-20,269,IVR,decided/leaning voters,different_candidate_field,residual,Other,0.25,false,true,residual,,https://www.forumresearch.com/news/2026/08/parthi-kandavel-leads-scarborough-southwest-council-race-though-john-tory-jr-would-take-the-lead-if-he-entered,
20,forum-ward20-2026-08-18-tory-jr,Forum Research,2026-08-18,2026-08-20,269,IVR,decided/leaning voters,different_candidate_field,kandavel,Parthi Kandavel,0.19,true,false,registered,,https://www.forumresearch.com/news/2026/08/parthi-kandavel-leads-scarborough-southwest-council-race-though-john-tory-jr-would-take-the-lead-if-he-entered,"Explicitly hypothetical ballot naming John Tory Jr., who is not on the final ballot. One of three dependent readings from one sample; not a separate poll. Shares sum to 99% from published whole-point rounding. The release prose groups undecided and other candidates, while the decided/leaning table publishes only Other, so no separate undecided share is inferred. Age weighting includes 2 respondents age 18-24 weighted to 16, 8 age 25-34 weighted to 47, and 138 age 65+ weighted to 38; no design effect or effective base is published."
20,forum-ward20-2026-08-18-tory-jr,Forum Research,2026-08-18,2026-08-20,269,IVR,decided/leaning voters,different_candidate_field,mills,Philip Mills,0.03,false,false,unregistered,,https://www.forumresearch.com/news/2026/08/parthi-kandavel-leads-scarborough-southwest-council-race-though-john-tory-jr-would-take-the-lead-if-he-entered,
20,forum-ward20-2026-08-18-tory-jr,Forum Research,2026-08-18,2026-08-20,269,IVR,decided/leaning voters,different_candidate_field,rupasinghe,Kevin Rupasinghe,0.24,false,false,registered,,https://www.forumresearch.com/news/2026/08/parthi-kandavel-leads-scarborough-southwest-council-race-though-john-tory-jr-would-take-the-lead-if-he-entered,
20,forum-ward20-2026-08-18-tory-jr,Forum Research,2026-08-18,2026-08-20,269,IVR,decided/leaning voters,different_candidate_field,ali-reza,Mohammad Ali Reza,0.02,false,false,registered,,https://www.forumresearch.com/news/2026/08/parthi-kandavel-leads-scarborough-southwest-council-race-though-john-tory-jr-would-take-the-lead-if-he-entered,
20,forum-ward20-2026-08-18-tory-jr,Forum Research,2026-08-18,2026-08-20,269,IVR,decided/leaning voters,different_candidate_field,tory-jr,John Tory Jr.,0.38,false,false,unregistered,,https://www.forumresearch.com/news/2026/08/parthi-kandavel-leads-scarborough-southwest-council-race-though-john-tory-jr-would-take-the-lead-if-he-entered,
20,forum-ward20-2026-08-18-tory-jr,Forum Research,2026-08-18,2026-08-20,269,IVR,decided/leaning voters,different_candidate_field,residual,Other,0.13,false,true,residual,,https://www.forumresearch.com/news/2026/08/parthi-kandavel-leads-scarborough-southwest-council-race-though-john-tory-jr-would-take-the-lead-if-he-entered,
20,forum-ward20-2026-08-18-crawford,Forum Research,2026-08-18,2026-08-20,269,IVR,decided/leaning voters,different_candidate_field,kandavel,Parthi Kandavel,0.32,true,false,registered,,https://www.forumresearch.com/news/2026/08/parthi-kandavel-leads-scarborough-southwest-council-race-though-john-tory-jr-would-take-the-lead-if-he-entered,"Explicitly hypothetical ballot naming Gary Crawford, who is not on the final ballot. One of three dependent readings from one sample; not a separate poll. Shares sum to 99% from published whole-point rounding. The release prose groups undecided and other candidates, while the decided/leaning table publishes only Other, so no separate undecided share is inferred. Age weighting includes 2 respondents age 18-24 weighted to 16, 7 age 25-34 weighted to 46, and 134 age 65+ weighted to 39; no design effect or effective base is published."
20,forum-ward20-2026-08-18-crawford,Forum Research,2026-08-18,2026-08-20,269,IVR,decided/leaning voters,different_candidate_field,mills,Philip Mills,0.07,false,false,unregistered,,https://www.forumresearch.com/news/2026/08/parthi-kandavel-leads-scarborough-southwest-council-race-though-john-tory-jr-would-take-the-lead-if-he-entered,
20,forum-ward20-2026-08-18-crawford,Forum Research,2026-08-18,2026-08-20,269,IVR,decided/leaning voters,different_candidate_field,rupasinghe,Kevin Rupasinghe,0.23,false,false,registered,,https://www.forumresearch.com/news/2026/08/parthi-kandavel-leads-scarborough-southwest-council-race-though-john-tory-jr-would-take-the-lead-if-he-entered,
20,forum-ward20-2026-08-18-crawford,Forum Research,2026-08-18,2026-08-20,269,IVR,decided/leaning voters,different_candidate_field,ali-reza,Mohammad Ali Reza,0.02,false,false,registered,,https://www.forumresearch.com/news/2026/08/parthi-kandavel-leads-scarborough-southwest-council-race-though-john-tory-jr-would-take-the-lead-if-he-entered,
20,forum-ward20-2026-08-18-crawford,Forum Research,2026-08-18,2026-08-20,269,IVR,decided/leaning voters,different_candidate_field,crawford,Gary Crawford,0.18,false,false,unregistered,,https://www.forumresearch.com/news/2026/08/parthi-kandavel-leads-scarborough-southwest-council-race-though-john-tory-jr-would-take-the-lead-if-he-entered,
20,forum-ward20-2026-08-18-crawford,Forum Research,2026-08-18,2026-08-20,269,IVR,decided/leaning voters,different_candidate_field,residual,Other,0.17,false,true,residual,,https://www.forumresearch.com/news/2026/08/parthi-kandavel-leads-scarborough-southwest-council-race-though-john-tory-jr-would-take-the-lead-if-he-entered,
