candidate_name,votes,is_winner,source_document_id,source_url,source_locator,source_sha256,source_completeness
MILLER DAVID,332969,true,toronto_open_data_2006_results,https://ckan0.cf.opendata.inter.prod-toronto.ca/dataset/96d35404-44d9-49d8-95bb-fb1e5489240d/resource/3fb1227c-a279-4523-a1aa-f00190ba717f/download/2006-results.zip,2006 Poll-by-Poll Mayor workbook; 44 ward sheets aggregated citywide,,official_rows_complete_artifact_not_retained
PITFIELD JANE,188932,false,toronto_open_data_2006_results,https://ckan0.cf.opendata.inter.prod-toronto.ca/dataset/96d35404-44d9-49d8-95bb-fb1e5489240d/resource/3fb1227c-a279-4523-a1aa-f00190ba717f/download/2006-results.zip,2006 Poll-by-Poll Mayor workbook; 44 ward sheets aggregated citywide,,official_rows_complete_artifact_not_retained
LEDREW STEPHEN,8078,false,toronto_open_data_2006_results,https://ckan0.cf.opendata.inter.prod-toronto.ca/dataset/96d35404-44d9-49d8-95bb-fb1e5489240d/resource/3fb1227c-a279-4523-a1aa-f00190ba717f/download/2006-results.zip,2006 Poll-by-Poll Mayor workbook; 44 ward sheets aggregated citywide,,official_rows_complete_artifact_not_retained
ALEXANDER MICHAEL,5247,false,toronto_open_data_2006_results,https://ckan0.cf.opendata.inter.prod-toronto.ca/dataset/96d35404-44d9-49d8-95bb-fb1e5489240d/resource/3fb1227c-a279-4523-a1aa-f00190ba717f/download/2006-results.zip,2006 Poll-by-Poll Mayor workbook; 44 ward sheets aggregated citywide,,official_rows_complete_artifact_not_retained
CASTILLO JAIME,5215,false,toronto_open_data_2006_results,https://ckan0.cf.opendata.inter.prod-toronto.ca/dataset/96d35404-44d9-49d8-95bb-fb1e5489240d/resource/3fb1227c-a279-4523-a1aa-f00190ba717f/download/2006-results.zip,2006 Poll-by-Poll Mayor workbook; 44 ward sheets aggregated citywide,,official_rows_complete_artifact_not_retained
CAMPBELL DOUGLAS,4183,false,toronto_open_data_2006_results,https://ckan0.cf.opendata.inter.prod-toronto.ca/dataset/96d35404-44d9-49d8-95bb-fb1e5489240d/resource/3fb1227c-a279-4523-a1aa-f00190ba717f/download/2006-results.zip,2006 Poll-by-Poll Mayor workbook; 44 ward sheets aggregated citywide,,official_rows_complete_artifact_not_retained
JACKSON HAZEL,3333,false,toronto_open_data_2006_results,https://ckan0.cf.opendata.inter.prod-toronto.ca/dataset/96d35404-44d9-49d8-95bb-fb1e5489240d/resource/3fb1227c-a279-4523-a1aa-f00190ba717f/download/2006-results.zip,2006 Poll-by-Poll Mayor workbook; 44 ward sheets aggregated citywide,,official_rows_complete_artifact_not_retained
ROMANO LEE,3108,false,toronto_open_data_2006_results,https://ckan0.cf.opendata.inter.prod-toronto.ca/dataset/96d35404-44d9-49d8-95bb-fb1e5489240d/resource/3fb1227c-a279-4523-a1aa-f00190ba717f/download/2006-results.zip,2006 Poll-by-Poll Mayor workbook; 44 ward sheets aggregated citywide,,official_rows_complete_artifact_not_retained
BRUCE SHAUN,2820,false,toronto_open_data_2006_results,https://ckan0.cf.opendata.inter.prod-toronto.ca/dataset/96d35404-44d9-49d8-95bb-fb1e5489240d/resource/3fb1227c-a279-4523-a1aa-f00190ba717f/download/2006-results.zip,2006 Poll-by-Poll Mayor workbook; 44 ward sheets aggregated citywide,,official_rows_complete_artifact_not_retained
HOSSAIN MONOWAR,2726,false,toronto_open_data_2006_results,https://ckan0.cf.opendata.inter.prod-toronto.ca/dataset/96d35404-44d9-49d8-95bb-fb1e5489240d/resource/3fb1227c-a279-4523-a1aa-f00190ba717f/download/2006-results.zip,2006 Poll-by-Poll Mayor workbook; 44 ward sheets aggregated citywide,,official_rows_complete_artifact_not_retained
