candidate_name,votes,is_winner,source_document_id,source_url,source_locator,source_sha256,source_completeness
FORD ROB,383501,true,toronto_open_data_2010_results,https://ckan0.cf.opendata.inter.prod-toronto.ca/dataset/96d35404-44d9-49d8-95bb-fb1e5489240d/resource/6fbfaab0-bb84-442a-8e4b-1c14d4c10d6d/download/2010-results.zip,2010 Poll-by-Poll Mayor workbook; 44 ward sheets aggregated citywide,,official_rows_complete_artifact_not_retained
SMITHERMAN GEORGE,289832,false,toronto_open_data_2010_results,https://ckan0.cf.opendata.inter.prod-toronto.ca/dataset/96d35404-44d9-49d8-95bb-fb1e5489240d/resource/6fbfaab0-bb84-442a-8e4b-1c14d4c10d6d/download/2010-results.zip,2010 Poll-by-Poll Mayor workbook; 44 ward sheets aggregated citywide,,official_rows_complete_artifact_not_retained
PANTALONE JOE,95482,false,toronto_open_data_2010_results,https://ckan0.cf.opendata.inter.prod-toronto.ca/dataset/96d35404-44d9-49d8-95bb-fb1e5489240d/resource/6fbfaab0-bb84-442a-8e4b-1c14d4c10d6d/download/2010-results.zip,2010 Poll-by-Poll Mayor workbook; 44 ward sheets aggregated citywide,,official_rows_complete_artifact_not_retained
ROSSI ROCCO,5012,false,toronto_open_data_2010_results,https://ckan0.cf.opendata.inter.prod-toronto.ca/dataset/96d35404-44d9-49d8-95bb-fb1e5489240d/resource/6fbfaab0-bb84-442a-8e4b-1c14d4c10d6d/download/2010-results.zip,2010 Poll-by-Poll Mayor workbook; 44 ward sheets aggregated citywide,,official_rows_complete_artifact_not_retained
BABULA GEORGE,3273,false,toronto_open_data_2010_results,https://ckan0.cf.opendata.inter.prod-toronto.ca/dataset/96d35404-44d9-49d8-95bb-fb1e5489240d/resource/6fbfaab0-bb84-442a-8e4b-1c14d4c10d6d/download/2010-results.zip,2010 Poll-by-Poll Mayor workbook; 44 ward sheets aggregated citywide,,official_rows_complete_artifact_not_retained
ACHAMPONG ROCCO,2805,false,toronto_open_data_2010_results,https://ckan0.cf.opendata.inter.prod-toronto.ca/dataset/96d35404-44d9-49d8-95bb-fb1e5489240d/resource/6fbfaab0-bb84-442a-8e4b-1c14d4c10d6d/download/2010-results.zip,2010 Poll-by-Poll Mayor workbook; 44 ward sheets aggregated citywide,,official_rows_complete_artifact_not_retained
GHAZI ABDULLAH-BAQUIE,2761,false,toronto_open_data_2010_results,https://ckan0.cf.opendata.inter.prod-toronto.ca/dataset/96d35404-44d9-49d8-95bb-fb1e5489240d/resource/6fbfaab0-bb84-442a-8e4b-1c14d4c10d6d/download/2010-results.zip,2010 Poll-by-Poll Mayor workbook; 44 ward sheets aggregated citywide,,official_rows_complete_artifact_not_retained
ALEXANDER MICHAEL,2470,false,toronto_open_data_2010_results,https://ckan0.cf.opendata.inter.prod-toronto.ca/dataset/96d35404-44d9-49d8-95bb-fb1e5489240d/resource/6fbfaab0-bb84-442a-8e4b-1c14d4c10d6d/download/2010-results.zip,2010 Poll-by-Poll Mayor workbook; 44 ward sheets aggregated citywide,,official_rows_complete_artifact_not_retained
SARMA VIJAY,2264,false,toronto_open_data_2010_results,https://ckan0.cf.opendata.inter.prod-toronto.ca/dataset/96d35404-44d9-49d8-95bb-fb1e5489240d/resource/6fbfaab0-bb84-442a-8e4b-1c14d4c10d6d/download/2010-results.zip,2010 Poll-by-Poll Mayor workbook; 44 ward sheets aggregated citywide,,official_rows_complete_artifact_not_retained
THOMSON SARAH,1883,false,toronto_open_data_2010_results,https://ckan0.cf.opendata.inter.prod-toronto.ca/dataset/96d35404-44d9-49d8-95bb-fb1e5489240d/resource/6fbfaab0-bb84-442a-8e4b-1c14d4c10d6d/download/2010-results.zip,2010 Poll-by-Poll Mayor workbook; 44 ward sheets aggregated citywide,,official_rows_complete_artifact_not_retained
