candidate_name,votes,is_winner,source_document_id,source_url,source_locator,source_sha256,source_completeness
Mark Cidade,453,false,toronto_2014_official_declaration,https://www.toronto.ca/wp-content/uploads/2017/08/9059-election-2014-clerksofficialdeclarationofresults.pdf,PDF pages 2-3 (printed pages 1-2),007f5055da03ce1df17cb85c6c1871a1de822c55966e4518f845905fa4b12158,complete_official_candidate_totals
Troy Young,411,false,toronto_2014_official_declaration,https://www.toronto.ca/wp-content/uploads/2017/08/9059-election-2014-clerksofficialdeclarationofresults.pdf,PDF pages 2-3 (printed pages 1-2),007f5055da03ce1df17cb85c6c1871a1de822c55966e4518f845905fa4b12158,complete_official_candidate_totals
Dave McKay,407,false,toronto_2014_official_declaration,https://www.toronto.ca/wp-content/uploads/2017/08/9059-election-2014-clerksofficialdeclarationofresults.pdf,PDF pages 2-3 (printed pages 1-2),007f5055da03ce1df17cb85c6c1871a1de822c55966e4518f845905fa4b12158,complete_official_candidate_totals
Michael Gordon,388,false,toronto_2014_official_declaration,https://www.toronto.ca/wp-content/uploads/2017/08/9059-election-2014-clerksofficialdeclarationofresults.pdf,PDF pages 2-3 (printed pages 1-2),007f5055da03ce1df17cb85c6c1871a1de822c55966e4518f845905fa4b12158,complete_official_candidate_totals
Christopher Ball,377,false,toronto_2014_official_declaration,https://www.toronto.ca/wp-content/uploads/2017/08/9059-election-2014-clerksofficialdeclarationofresults.pdf,PDF pages 2-3 (printed pages 1-2),007f5055da03ce1df17cb85c6c1871a1de822c55966e4518f845905fa4b12158,complete_official_candidate_totals
Ashok Sajnani,368,false,toronto_2014_official_declaration,https://www.toronto.ca/wp-content/uploads/2017/08/9059-election-2014-clerksofficialdeclarationofresults.pdf,PDF pages 2-3 (printed pages 1-2),007f5055da03ce1df17cb85c6c1871a1de822c55966e4518f845905fa4b12158,complete_official_candidate_totals
Matthew Crack,366,false,toronto_2014_official_declaration,https://www.toronto.ca/wp-content/uploads/2017/08/9059-election-2014-clerksofficialdeclarationofresults.pdf,PDF pages 2-3 (printed pages 1-2),007f5055da03ce1df17cb85c6c1871a1de822c55966e4518f845905fa4b12158,complete_official_candidate_totals
Frank Burgess,335,false,toronto_2014_official_declaration,https://www.toronto.ca/wp-content/uploads/2017/08/9059-election-2014-clerksofficialdeclarationofresults.pdf,PDF pages 2-3 (printed pages 1-2),007f5055da03ce1df17cb85c6c1871a1de822c55966e4518f845905fa4b12158,complete_official_candidate_totals
D!ONNE Renée,323,false,toronto_2014_official_declaration,https://www.toronto.ca/wp-content/uploads/2017/08/9059-election-2014-clerksofficialdeclarationofresults.pdf,PDF pages 2-3 (printed pages 1-2),007f5055da03ce1df17cb85c6c1871a1de822c55966e4518f845905fa4b12158,complete_official_candidate_totals
Michael Tasevski,319,false,toronto_2014_official_declaration,https://www.toronto.ca/wp-content/uploads/2017/08/9059-election-2014-clerksofficialdeclarationofresults.pdf,PDF pages 2-3 (printed pages 1-2),007f5055da03ce1df17cb85c6c1871a1de822c55966e4518f845905fa4b12158,complete_official_candidate_totals
Mohammad Okhovat,318,false,toronto_2014_official_declaration,https://www.toronto.ca/wp-content/uploads/2017/08/9059-election-2014-clerksofficialdeclarationofresults.pdf,PDF pages 2-3 (printed pages 1-2),007f5055da03ce1df17cb85c6c1871a1de822c55966e4518f845905fa4b12158,complete_official_candidate_totals
Chinh Huynh,312,false,toronto_2014_official_declaration,https://www.toronto.ca/wp-content/uploads/2017/08/9059-election-2014-clerksofficialdeclarationofresults.pdf,PDF pages 2-3 (printed pages 1-2),007f5055da03ce1df17cb85c6c1871a1de822c55966e4518f845905fa4b12158,complete_official_candidate_totals
Veerayya Kembhavimath,294,false,toronto_2014_official_declaration,https://www.toronto.ca/wp-content/uploads/2017/08/9059-election-2014-clerksofficialdeclarationofresults.pdf,PDF pages 2-3 (printed pages 1-2),007f5055da03ce1df17cb85c6c1871a1de822c55966e4518f845905fa4b12158,complete_official_candidate_totals
Jeff Billard,288,false,toronto_2014_official_declaration,https://www.toronto.ca/wp-content/uploads/2017/08/9059-election-2014-clerksofficialdeclarationofresults.pdf,PDF pages 2-3 (printed pages 1-2),007f5055da03ce1df17cb85c6c1871a1de822c55966e4518f845905fa4b12158,complete_official_candidate_totals
Pat Roberge,273,false,toronto_2014_official_declaration,https://www.toronto.ca/wp-content/uploads/2017/08/9059-election-2014-clerksofficialdeclarationofresults.pdf,PDF pages 2-3 (printed pages 1-2),007f5055da03ce1df17cb85c6c1871a1de822c55966e4518f845905fa4b12158,complete_official_candidate_totals
Lee Romanov,271,false,toronto_2014_official_declaration,https://www.toronto.ca/wp-content/uploads/2017/08/9059-election-2014-clerksofficialdeclarationofresults.pdf,PDF pages 2-3 (printed pages 1-2),007f5055da03ce1df17cb85c6c1871a1de822c55966e4518f845905fa4b12158,complete_official_candidate_totals
Radu Popescu,233,false,toronto_2014_official_declaration,https://www.toronto.ca/wp-content/uploads/2017/08/9059-election-2014-clerksofficialdeclarationofresults.pdf,PDF pages 2-3 (printed pages 1-2),007f5055da03ce1df17cb85c6c1871a1de822c55966e4518f845905fa4b12158,complete_official_candidate_totals
Jon Karsemeyer,232,false,toronto_2014_official_declaration,https://www.toronto.ca/wp-content/uploads/2017/08/9059-election-2014-clerksofficialdeclarationofresults.pdf,PDF pages 2-3 (printed pages 1-2),007f5055da03ce1df17cb85c6c1871a1de822c55966e4518f845905fa4b12158,complete_official_candidate_totals
Steven Lam,226,false,toronto_2014_official_declaration,https://www.toronto.ca/wp-content/uploads/2017/08/9059-election-2014-clerksofficialdeclarationofresults.pdf,PDF pages 2-3 (printed pages 1-2),007f5055da03ce1df17cb85c6c1871a1de822c55966e4518f845905fa4b12158,complete_official_candidate_totals
Jonathan Bliguin,207,false,toronto_2014_official_declaration,https://www.toronto.ca/wp-content/uploads/2017/08/9059-election-2014-clerksofficialdeclarationofresults.pdf,PDF pages 2-3 (printed pages 1-2),007f5055da03ce1df17cb85c6c1871a1de822c55966e4518f845905fa4b12158,complete_official_candidate_totals
Christina Van Eyck,203,false,toronto_2014_official_declaration,https://www.toronto.ca/wp-content/uploads/2017/08/9059-election-2014-clerksofficialdeclarationofresults.pdf,PDF pages 2-3 (printed pages 1-2),007f5055da03ce1df17cb85c6c1871a1de822c55966e4518f845905fa4b12158,complete_official_candidate_totals
Josh Rachlis,201,false,toronto_2014_official_declaration,https://www.toronto.ca/wp-content/uploads/2017/08/9059-election-2014-clerksofficialdeclarationofresults.pdf,PDF pages 2-3 (printed pages 1-2),007f5055da03ce1df17cb85c6c1871a1de822c55966e4518f845905fa4b12158,complete_official_candidate_totals
