election_cycle_id,candidate_id,candidate_name,candidate_name_as_reported,votes,valid_vote_total,share,is_winner,source_document_id,source_locator
toronto_2003,toronto_2003:o-beirne-patricia,"O'Beirne, Patricia","O'Beirne, Patricia",358,692085,0.000517277502040934,false,toronto_open_data_2003_results,2003 Poll-by-Poll Mayor workbook; 44 ward sheets aggregated citywide
toronto_2003,toronto_2003:peters-fen,"Peters, Fen","Peters, Fen",598,692085,0.000864055715699661,false,toronto_open_data_2003_results,2003 Poll-by-Poll Mayor workbook; 44 ward sheets aggregated citywide
toronto_2003,toronto_2003:pletch-barry,"Pletch, Barry","Pletch, Barry",110,692085,0.000158940014593583,false,toronto_open_data_2003_results,2003 Poll-by-Poll Mayor workbook; 44 ward sheets aggregated citywide
toronto_2003,toronto_2003:poremski-daniel,"Poremski, Daniel","Poremski, Daniel",627,692085,0.000905958083183424,false,toronto_open_data_2003_results,2003 Poll-by-Poll Mayor workbook; 44 ward sheets aggregated citywide
toronto_2003,toronto_2003:prashad-rabindra,"Prashad, Rabindra","Prashad, Rabindra",271,692085,0.000391570399589646,false,toronto_open_data_2003_results,2003 Poll-by-Poll Mayor workbook; 44 ward sheets aggregated citywide
toronto_2003,toronto_2003:safi-hashmat,"Safi, Hashmat","Safi, Hashmat",383,692085,0.000553400232630385,false,toronto_open_data_2003_results,2003 Poll-by-Poll Mayor workbook; 44 ward sheets aggregated citywide
toronto_2003,toronto_2003:shaw-simon,"Shaw, Simon","Shaw, Simon",376,692085,0.000543285868065339,false,toronto_open_data_2003_results,2003 Poll-by-Poll Mayor workbook; 44 ward sheets aggregated citywide
toronto_2003,toronto_2003:shehab-ahmad,"Shehab, Ahmad","Shehab, Ahmad",2084,692085,0.003011190821936612,false,toronto_open_data_2003_results,2003 Poll-by-Poll Mayor workbook; 44 ward sheets aggregated citywide
toronto_2003,toronto_2003:silva-luis,"Silva, Luis","Silva, Luis",1305,692085,0.001885606536769327,false,toronto_open_data_2003_results,2003 Poll-by-Poll Mayor workbook; 44 ward sheets aggregated citywide
toronto_2003,toronto_2003:van-wyk-abel,"Van Wyk, Abel","Van Wyk, Abel",332,692085,0.000479709862227906,false,toronto_open_data_2003_results,2003 Poll-by-Poll Mayor workbook; 44 ward sheets aggregated citywide
