candidate_name,votes,is_winner,source_document_id,source_url,source_locator,source_sha256,source_completeness
"Jahshan, John",703,false,toronto_open_data_2003_results,https://ckan0.cf.opendata.inter.prod-toronto.ca/dataset/96d35404-44d9-49d8-95bb-fb1e5489240d/resource/1ed53c9d-a316-465e-96ce-e72be74f8aa9/download/2003-results.zip,2003 Poll-by-Poll Mayor workbook; 44 ward sheets aggregated citywide,,official_rows_complete_artifact_not_retained
"Brausewetter, Michael",672,false,toronto_open_data_2003_results,https://ckan0.cf.opendata.inter.prod-toronto.ca/dataset/96d35404-44d9-49d8-95bb-fb1e5489240d/resource/1ed53c9d-a316-465e-96ce-e72be74f8aa9/download/2003-results.zip,2003 Poll-by-Poll Mayor workbook; 44 ward sheets aggregated citywide,,official_rows_complete_artifact_not_retained
"Lichacz, David",659,false,toronto_open_data_2003_results,https://ckan0.cf.opendata.inter.prod-toronto.ca/dataset/96d35404-44d9-49d8-95bb-fb1e5489240d/resource/1ed53c9d-a316-465e-96ce-e72be74f8aa9/download/2003-results.zip,2003 Poll-by-Poll Mayor workbook; 44 ward sheets aggregated citywide,,official_rows_complete_artifact_not_retained
"Narula, Ram",645,false,toronto_open_data_2003_results,https://ckan0.cf.opendata.inter.prod-toronto.ca/dataset/96d35404-44d9-49d8-95bb-fb1e5489240d/resource/1ed53c9d-a316-465e-96ce-e72be74f8aa9/download/2003-results.zip,2003 Poll-by-Poll Mayor workbook; 44 ward sheets aggregated citywide,,official_rows_complete_artifact_not_retained
"Makhoul, Elias",644,false,toronto_open_data_2003_results,https://ckan0.cf.opendata.inter.prod-toronto.ca/dataset/96d35404-44d9-49d8-95bb-fb1e5489240d/resource/1ed53c9d-a316-465e-96ce-e72be74f8aa9/download/2003-results.zip,2003 Poll-by-Poll Mayor workbook; 44 ward sheets aggregated citywide,,official_rows_complete_artifact_not_retained
"Poremski, Daniel",627,false,toronto_open_data_2003_results,https://ckan0.cf.opendata.inter.prod-toronto.ca/dataset/96d35404-44d9-49d8-95bb-fb1e5489240d/resource/1ed53c9d-a316-465e-96ce-e72be74f8aa9/download/2003-results.zip,2003 Poll-by-Poll Mayor workbook; 44 ward sheets aggregated citywide,,official_rows_complete_artifact_not_retained
"Graham, Ronald",619,false,toronto_open_data_2003_results,https://ckan0.cf.opendata.inter.prod-toronto.ca/dataset/96d35404-44d9-49d8-95bb-fb1e5489240d/resource/1ed53c9d-a316-465e-96ce-e72be74f8aa9/download/2003-results.zip,2003 Poll-by-Poll Mayor workbook; 44 ward sheets aggregated citywide,,official_rows_complete_artifact_not_retained
"Peters, Fen",598,false,toronto_open_data_2003_results,https://ckan0.cf.opendata.inter.prod-toronto.ca/dataset/96d35404-44d9-49d8-95bb-fb1e5489240d/resource/1ed53c9d-a316-465e-96ce-e72be74f8aa9/download/2003-results.zip,2003 Poll-by-Poll Mayor workbook; 44 ward sheets aggregated citywide,,official_rows_complete_artifact_not_retained
"Naimji, Duri",569,false,toronto_open_data_2003_results,https://ckan0.cf.opendata.inter.prod-toronto.ca/dataset/96d35404-44d9-49d8-95bb-fb1e5489240d/resource/1ed53c9d-a316-465e-96ce-e72be74f8aa9/download/2003-results.zip,2003 Poll-by-Poll Mayor workbook; 44 ward sheets aggregated citywide,,official_rows_complete_artifact_not_retained
"Yee, Scott",551,false,toronto_open_data_2003_results,https://ckan0.cf.opendata.inter.prod-toronto.ca/dataset/96d35404-44d9-49d8-95bb-fb1e5489240d/resource/1ed53c9d-a316-465e-96ce-e72be74f8aa9/download/2003-results.zip,2003 Poll-by-Poll Mayor workbook; 44 ward sheets aggregated citywide,,official_rows_complete_artifact_not_retained
"Hossain, Monowar",537,false,toronto_open_data_2003_results,https://ckan0.cf.opendata.inter.prod-toronto.ca/dataset/96d35404-44d9-49d8-95bb-fb1e5489240d/resource/1ed53c9d-a316-465e-96ce-e72be74f8aa9/download/2003-results.zip,2003 Poll-by-Poll Mayor workbook; 44 ward sheets aggregated citywide,,official_rows_complete_artifact_not_retained
"Cocon, Axcel",498,false,toronto_open_data_2003_results,https://ckan0.cf.opendata.inter.prod-toronto.ca/dataset/96d35404-44d9-49d8-95bb-fb1e5489240d/resource/1ed53c9d-a316-465e-96ce-e72be74f8aa9/download/2003-results.zip,2003 Poll-by-Poll Mayor workbook; 44 ward sheets aggregated citywide,,official_rows_complete_artifact_not_retained
"Kerr, Ben",433,false,toronto_open_data_2003_results,https://ckan0.cf.opendata.inter.prod-toronto.ca/dataset/96d35404-44d9-49d8-95bb-fb1e5489240d/resource/1ed53c9d-a316-465e-96ce-e72be74f8aa9/download/2003-results.zip,2003 Poll-by-Poll Mayor workbook; 44 ward sheets aggregated citywide,,official_rows_complete_artifact_not_retained
"Glisic, Aleksandar",420,false,toronto_open_data_2003_results,https://ckan0.cf.opendata.inter.prod-toronto.ca/dataset/96d35404-44d9-49d8-95bb-fb1e5489240d/resource/1ed53c9d-a316-465e-96ce-e72be74f8aa9/download/2003-results.zip,2003 Poll-by-Poll Mayor workbook; 44 ward sheets aggregated citywide,,official_rows_complete_artifact_not_retained
"Gold, Mitch",412,false,toronto_open_data_2003_results,https://ckan0.cf.opendata.inter.prod-toronto.ca/dataset/96d35404-44d9-49d8-95bb-fb1e5489240d/resource/1ed53c9d-a316-465e-96ce-e72be74f8aa9/download/2003-results.zip,2003 Poll-by-Poll Mayor workbook; 44 ward sheets aggregated citywide,,official_rows_complete_artifact_not_retained
"Safi, Hashmat",383,false,toronto_open_data_2003_results,https://ckan0.cf.opendata.inter.prod-toronto.ca/dataset/96d35404-44d9-49d8-95bb-fb1e5489240d/resource/1ed53c9d-a316-465e-96ce-e72be74f8aa9/download/2003-results.zip,2003 Poll-by-Poll Mayor workbook; 44 ward sheets aggregated citywide,,official_rows_complete_artifact_not_retained
"Shaw, Simon",376,false,toronto_open_data_2003_results,https://ckan0.cf.opendata.inter.prod-toronto.ca/dataset/96d35404-44d9-49d8-95bb-fb1e5489240d/resource/1ed53c9d-a316-465e-96ce-e72be74f8aa9/download/2003-results.zip,2003 Poll-by-Poll Mayor workbook; 44 ward sheets aggregated citywide,,official_rows_complete_artifact_not_retained
"O'Beirne, Patricia",358,false,toronto_open_data_2003_results,https://ckan0.cf.opendata.inter.prod-toronto.ca/dataset/96d35404-44d9-49d8-95bb-fb1e5489240d/resource/1ed53c9d-a316-465e-96ce-e72be74f8aa9/download/2003-results.zip,2003 Poll-by-Poll Mayor workbook; 44 ward sheets aggregated citywide,,official_rows_complete_artifact_not_retained
"Van Wyk, Abel",332,false,toronto_open_data_2003_results,https://ckan0.cf.opendata.inter.prod-toronto.ca/dataset/96d35404-44d9-49d8-95bb-fb1e5489240d/resource/1ed53c9d-a316-465e-96ce-e72be74f8aa9/download/2003-results.zip,2003 Poll-by-Poll Mayor workbook; 44 ward sheets aggregated citywide,,official_rows_complete_artifact_not_retained
"Mbaegbu, Benjamin",288,false,toronto_open_data_2003_results,https://ckan0.cf.opendata.inter.prod-toronto.ca/dataset/96d35404-44d9-49d8-95bb-fb1e5489240d/resource/1ed53c9d-a316-465e-96ce-e72be74f8aa9/download/2003-results.zip,2003 Poll-by-Poll Mayor workbook; 44 ward sheets aggregated citywide,,official_rows_complete_artifact_not_retained
"Derome, Gerald",278,false,toronto_open_data_2003_results,https://ckan0.cf.opendata.inter.prod-toronto.ca/dataset/96d35404-44d9-49d8-95bb-fb1e5489240d/resource/1ed53c9d-a316-465e-96ce-e72be74f8aa9/download/2003-results.zip,2003 Poll-by-Poll Mayor workbook; 44 ward sheets aggregated citywide,,official_rows_complete_artifact_not_retained
"Prashad, Rabindra",271,false,toronto_open_data_2003_results,https://ckan0.cf.opendata.inter.prod-toronto.ca/dataset/96d35404-44d9-49d8-95bb-fb1e5489240d/resource/1ed53c9d-a316-465e-96ce-e72be74f8aa9/download/2003-results.zip,2003 Poll-by-Poll Mayor workbook; 44 ward sheets aggregated citywide,,official_rows_complete_artifact_not_retained
"Lewin, Paul",271,false,toronto_open_data_2003_results,https://ckan0.cf.opendata.inter.prod-toronto.ca/dataset/96d35404-44d9-49d8-95bb-fb1e5489240d/resource/1ed53c9d-a316-465e-96ce-e72be74f8aa9/download/2003-results.zip,2003 Poll-by-Poll Mayor workbook; 44 ward sheets aggregated citywide,,official_rows_complete_artifact_not_retained
"Dhir, Hardy",199,false,toronto_open_data_2003_results,https://ckan0.cf.opendata.inter.prod-toronto.ca/dataset/96d35404-44d9-49d8-95bb-fb1e5489240d/resource/1ed53c9d-a316-465e-96ce-e72be74f8aa9/download/2003-results.zip,2003 Poll-by-Poll Mayor workbook; 44 ward sheets aggregated citywide,,official_rows_complete_artifact_not_retained
"Csak, Kendal",193,false,toronto_open_data_2003_results,https://ckan0.cf.opendata.inter.prod-toronto.ca/dataset/96d35404-44d9-49d8-95bb-fb1e5489240d/resource/1ed53c9d-a316-465e-96ce-e72be74f8aa9/download/2003-results.zip,2003 Poll-by-Poll Mayor workbook; 44 ward sheets aggregated citywide,,official_rows_complete_artifact_not_retained
"Yagiz, Mehmet",193,false,toronto_open_data_2003_results,https://ckan0.cf.opendata.inter.prod-toronto.ca/dataset/96d35404-44d9-49d8-95bb-fb1e5489240d/resource/1ed53c9d-a316-465e-96ce-e72be74f8aa9/download/2003-results.zip,2003 Poll-by-Poll Mayor workbook; 44 ward sheets aggregated citywide,,official_rows_complete_artifact_not_retained
"Weston, Richard",133,false,toronto_open_data_2003_results,https://ckan0.cf.opendata.inter.prod-toronto.ca/dataset/96d35404-44d9-49d8-95bb-fb1e5489240d/resource/1ed53c9d-a316-465e-96ce-e72be74f8aa9/download/2003-results.zip,2003 Poll-by-Poll Mayor workbook; 44 ward sheets aggregated citywide,,official_rows_complete_artifact_not_retained
"Wadhwa, Ratan",121,false,toronto_open_data_2003_results,https://ckan0.cf.opendata.inter.prod-toronto.ca/dataset/96d35404-44d9-49d8-95bb-fb1e5489240d/resource/1ed53c9d-a316-465e-96ce-e72be74f8aa9/download/2003-results.zip,2003 Poll-by-Poll Mayor workbook; 44 ward sheets aggregated citywide,,official_rows_complete_artifact_not_retained
"Pletch, Barry",110,false,toronto_open_data_2003_results,https://ckan0.cf.opendata.inter.prod-toronto.ca/dataset/96d35404-44d9-49d8-95bb-fb1e5489240d/resource/1ed53c9d-a316-465e-96ce-e72be74f8aa9/download/2003-results.zip,2003 Poll-by-Poll Mayor workbook; 44 ward sheets aggregated citywide,,official_rows_complete_artifact_not_retained
