ward,councillor_name,election_year,is_byelection_incumbent,is_running,vote_share,electorate_share,defeatability_score,prior_runner_up,prior_margin_share,prior_runner_up_share,notes,last_updated,pop_growth_pct
10,Ausma Malik,2022,False,True,0.3655,0.0842,70,April Engelberg,0.1521066521066521,0.2133952133952134,New Voter Margin: 10428,2026-03-10,0.18444648558806806
11,Dianne Saxe,2022,False,True,0.35369999999999996,0.1072,68,Norm Di Pasquale,0.005051127263767402,0.34869204550121147,New Voter Margin: 8746,2026-03-10,0.01855352168722642
20,Parthi Kandavel,2023,True,True,0.2734,0.0588,66,Kevin Rupasinghe,0.04636502886767998,0.22705314009661837,New Voter Margin: 2187,2026-07-18,0.016668205743835995
18,Lily Cheng,2022,False,True,0.4172,0.1191,64,Markus O'Brien Fehr,0.08147740353335668,0.33576898053150495,New Voter Margin: 12457,2026-07-18,-0.0022998296422487223
25,Neethan Shan,2023,True,True,0.2683,0.0663,61,Anu Sriskandarajah,0.09334163036714374,0.17496370047707943,New Voter Margin: -977,2026-03-10,0.0003943023313125339
1,Vincent Crisanti,2022,False,True,0.4107,0.09630000000000001,58,Avtar Minhas,0.20524254293461885,0.20542332027719193,New Voter Margin: 2531,2026-03-10,-0.01568979522038391
23,Jamaal Myers,2022,False,True,0.5109,0.0867,55,Phillip Francis,0.2460828607132558,0.26482745361914833,New Voter Margin: 2944,2026-03-10,-0.036727794283372604
4,Gord Perks,2022,False,False,0.35479999999999995,0.133,54,Chemi Lhamo,0.03914081145584725,0.3156404136833731,New Voter Margin: 2653,2026-07-18,-0.016252524778054393
13,Chris Moise,2022,False,True,0.48479999999999995,0.1306,54,Nicki Ward,0.30216060830860536,0.1826780415430267,New Voter Margin: 6007,2026-07-18,0.17411386685410182
5,Frances Nunziata,2022,False,True,0.47609999999999997,0.131,53,Chiara Padovani,0.00444087494685123,0.4716303680257004,New Voter Margin: 5709,2026-03-10,0.004733779206114827
16,Jon Burnside,2022,False,True,0.4468,0.1323,51,Stephen Ksiazek,0.23960732697159154,0.20719534934737305,New Voter Margin: 2822,2026-03-10,0.012558364192561584
3,Amber Morley,2022,False,True,0.4644,0.14859999999999998,50,Mark Grimes,0.06121704224067147,0.40318705714198827,New Voter Margin: 7048,2026-03-10,0.09719662811213488
22,Nick Mantas,2022,False,True,0.4889,0.1226,47,Bill Wu,0.30152694432891686,0.18733289762937436,New Voter Margin: 1331,2026-07-18,-0.00518085004317375
7,Anthony Perruzza,2022,False,True,0.613,0.1316,38,Christopher Mammoliti,0.3866516474232611,0.22634469163615883,New Voter Margin: 1086,2026-07-18,0.03225806451612903
21,Michael Thompson,2022,False,True,0.5525,0.14,34,Muhammad Ayub,0.41529600708866365,0.1372320983552085,New Voter Margin: 548,2026-07-18,0.010095522658336728
15,Rachel Chernos Lin,2024,True,True,0.5476,0.1721,27,Anthony Furey,0.2358734875822543,0.31173848439821694,New Voter Margin: -4480,2026-07-18,-0.007515473032714412
19,Brad Bradford,2022,False,False,0.5471,0.195,26,Jennie Worden,0.3201817657241777,0.22688257357184075,New Voter Margin: -2045,2026-07-18,0.0005533013648100332
17,Shelley Carroll,2022,False,True,0.7179000000000001,0.18289999999999998,25,Daryl Christoff,0.5826885610910103,0.13520734762037295,New Voter Margin: -82,2026-03-10,0.03241483655036449
6,James Pasternak,2022,False,True,0.7353000000000001,0.1784,22,Mike Arkin,0.6197055629298902,0.11560275129721251,New Voter Margin: -1660,2026-03-10,0.03464726291441789
8,Mike Colle,2022,False,True,0.7031000000000001,0.21539999999999998,16,Evan Sambasivam,0.5614366729678639,0.14165365332456645,New Voter Margin: -6091,2026-03-10,0.016826071555083245
24,Paul Ainslie,2022,False,True,0.7652,0.1948,16,Vivian Parker,0.653650462821063,0.1115674615337461,New Voter Margin: -4043,2026-07-18,0.016269409553951144
9,Alejandra Bravo,2022,False,True,0.7071999999999999,0.2091,14,Grant Gonzales,0.5745114345114345,0.13272349272349274,New Voter Margin: -10548,2026-03-10,-0.024814935518413333
2,Stephen Holyday,2022,False,True,0.7228,0.20739999999999997,14,Thomas Yanuziello,0.6194407664148298,0.10331801542176182,New Voter Margin: -8628,2026-03-10,0.009866011804747749
14,Paula Fletcher,2022,False,True,0.7402,0.2553,7,Wali Abro,0.6679182007071774,0.07224875150366347,New Voter Margin: -12031,2026-07-18,-0.007970017553014849
12,Josh Matlow,2022,False,True,0.8465,0.2703,3,Bryan Ashworth,0.770106788141289,0.07635725487267568,New Voter Margin: -12863,2026-07-18,0.08724032780636554
