ward,pop_2016,pop_2021
1,116955,115120
2,116055,117200
3,127525,139920
4,106445,104715
5,115130,115675
6,103760,107355
7,107725,111200
8,112920,114820
9,107395,104730
10,114315,135400
11,100520,102385
12,104940,114095
13,99590,116930
14,105395,104555
15,101790,101025
16,93165,94335
17,109055,112590
18,117400,117130
19,108440,108500
20,108290,110095
21,110445,111560
22,104230,103690
23,97610,94025
24,101110,102755
25,101445,101485
